Time,Thermistor,Potentiometer
0,454,2
1,454,7
2,454,12
3,454,16
4,454,23
5,455,29
6,454,32
7,455,37
8,454,40
9,455,50
10,455,60
11,454,70
12,455,83
13,454,94
14,455,109
15,455,123
16,454,135
17,454,146
18,454,155
19,454,166
20,454,174
21,455,185
22,455,195
23,455,205
24,454,212
25,455,220
26,454,228
27,455,232
28,454,238
29,455,246
30,454,254
31,454,260
32,455,266
33,454,272
34,455,278
35,455,285
36,454,295
37,455,303
38,455,312
39,455,324
40,455,335
41,454,346
42,455,359
43,454,372
44,455,380
45,455,392
46,455,403
47,455,412
48,455,420
49,455,425
50,455,429
51,455,434
52,455,437
53,455,439
54,455,439
55,455,439
56,455,439
57,455,440
58,455,440
59,455,441
60,455,442
61,455,443
62,455,448
63,455,453
64,455,459
65,455,465
66,455,470
67,455,478
68,455,489
69,455,497
70,455,503
71,455,503
72,455,504
73,455,506
74,455,506
75,455,506
76,455,506
77,455,507
78,455,506
79,455,506
80,455,507
81,455,506
82,454,506
83,455,506
84,455,506
85,455,506
86,455,506
87,455,506
88,455,506
89,455,506
90,455,507
91,455,507
92,455,506
93,455,506
94,455,507
95,455,506
96,455,506
97,455,506
98,455,507
99,455,506
100,455,506
101,455,507
102,455,506
103,455,506
104,455,506
105,455,506
106,455,506
107,456,507
108,455,506
109,455,506
110,456,506
111,455,506
112,455,506
113,456,506
114,455,506
115,455,506
116,455,506
117,456,507
118,455,506
119,455,506
120,456,506
121,456,506
122,455,506
123,456,506
124,455,506
125,455,506
126,455,506
127,455,506
128,455,506
129,455,506
130,456,506
131,456,506
132,455,506
133,455,506
134,455,506
135,455,507
136,455,506
137,456,506
138,456,507
139,455,506
140,456,506
141,456,506
142,455,506
143,456,506
144,456,506
145,455,506
146,455,506
147,455,506
148,456,507
149,455,506
150,455,506
151,456,507
152,455,507
153,455,506
154,456,506
155,456,506
156,456,506
157,456,506
158,456,507
159,456,507
160,455,506
161,456,506
162,456,507
163,455,506
164,456,506
165,456,506
166,456,507
167,455,506
168,456,506
169,456,507
170,456,506
171,456,506
172,456,506
173,456,506
174,456,506
175,456,506
176,455,506
177,456,506
178,456,506
179,455,506
180,456,506
181,456,506
182,456,507
183,456,506
184,456,506
185,456,507
186,456,506
187,456,506
188,456,506
189,456,506
190,456,506
191,456,506
192,456,507
193,456,507
194,456,506
195,456,506
196,456,506
197,456,506
198,456,506
199,456,506
200,456,506
201,456,506
202,456,506
203,456,507
204,456,506
205,456,506
206,456,506
207,456,506
208,457,506
209,456,506
210,456,506
211,456,506
212,456,506
213,456,506
214,456,506
215,457,506
216,457,507
217,457,506
218,456,506
219,457,506
220,456,506
221,456,506
222,456,506
223,456,507
224,457,506
225,457,506
226,457,507
227,456,507
228,456,506
229,457,506
230,456,506
231,456,506
232,457,506
233,457,506
234,456,506
235,456,506
236,456,506
237,456,507
238,456,506
239,457,506
240,457,506
241,456,506
242,457,506
243,457,506
244,457,506
245,457,506
246,457,506
247,456,507
248,456,506
249,457,506
250,457,507
251,457,506
252,456,506
253,457,507
254,456,506
255,457,506
256,457,506
257,457,506
258,457,506
259,457,506
260,457,506
261,457,507
262,457,506
263,457,506
264,457,507
265,456,506
266,457,506
267,457,506
268,457,507
269,457,506
270,457,507
271,457,507
272,457,506
273,457,506
274,457,507
275,457,506
276,457,506
277,457,506
278,457,506
279,457,506
280,457,506
281,457,507
282,457,506
283,457,506
284,457,507
285,458,506
286,457,506
287,457,507
288,457,507
289,457,506
290,458,506
291,457,506
292,457,506
293,458,506
294,458,507
295,457,507
296,457,506
297,458,506
298,458,506
299,457,506
300,458,506
301,458,506
302,457,506
303,457,506
304,458,507
305,457,507
306,457,506
307,458,506
308,458,507
309,457,506
