Time,Signal
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,173
9,321
10,447
11,550
12,636
13,492
14,387
15,305
16,241
17,191
18,351
19,474
20,576
21,658
22,725
23,564
24,447
25,354
26,280
27,222
28,382
29,501
30,597
31,676
32,740
33,575
34,456
35,362
36,287
37,227
38,389
39,507
40,603
41,681
42,744
43,575
44,457
45,362
46,287
47,228
48,392
49,510
50,605
51,683
52,745
53,574
54,456
55,362
56,287
57,225
58,395
59,513
60,607
61,685
62,747
63,573
64,454
65,361
66,286
67,224
68,398
69,514
70,609
71,686
72,748
73,571
74,453
75,359
76,285
77,224
78,400
79,516
80,610
81,687
82,749
83,569
84,451
85,358
86,284
87,223
88,401
89,518
90,612
91,688
92,749
93,566
94,450
95,357
96,283
97,256
98,404
99,520
100,613
101,689
102,715
103,565
104,448
105,356
106,282
107,261
108,406
109,522
110,615
111,691
112,712
113,563
114,447
115,354
116,281
117,262
118,408
119,523
120,616
121,692
122,709
123,561
124,446
125,354
126,280
127,264
128,410
129,525
130,617
131,693
132,706
133,559
134,443
135,352
136,279
137,268
138,412
139,527
140,619
141,694
142,703
143,557
144,442
145,351
146,278
147,271
148,415
149,528
150,620
151,695
152,700
153,554
154,440
155,349
156,277
157,274
158,417
159,530
160,621
161,696
162,698
163,552
164,439
165,348
166,276
167,276
168,418
169,531
170,623
171,698
172,695
173,550
174,437
175,346
176,275
177,279
178,420
179,533
180,624
181,698
182,692
183,549
184,435
185,346
186,274
187,282
188,423
189,535
190,626
191,699
192,690
193,546
194,434
195,344
196,273
197,284
198,424
199,536
200,627
201,700
202,687
203,545
204,432
205,343
206,272
207,286
208,426
209,538
210,628
211,701
212,684
213,542
214,430
215,342
216,271
217,289
218,428
219,539
220,629
221,703
222,682
223,541
224,429
225,341
226,270
227,293
228,431
229,541
230,631
231,704
232,679
233,539
234,428
235,339
236,269
237,295
238,432
239,543
240,632
241,705
242,677
243,537
244,426
245,338
246,268
247,297
248,434
249,544
250,633
251,706
252,674
253,535
254,424
255,337
256,267
257,300
258,436
259,546
260,635
261,707
262,672
263,533
264,423
265,336
266,266
267,303
268,439
269,548
270,636
271,708
272,669
273,531
274,421
275,334
276,265
277,305
278,440
279,549
