Time,Signal
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1022
9,1023
10,1022
11,1022
12,1022
13,0
14,0
15,0
16,0
17,0
18,1022
19,1022
20,1022
21,1022
22,1022
23,0
24,0
25,0
26,0
27,0
28,1022
29,1022
30,1022
31,1022
32,1022
33,0
34,0
35,0
36,0
37,0
38,1022
39,1022
40,1022
41,1022
42,1022
43,0
44,0
45,0
46,0
47,0
48,1022
49,1022
50,1022
51,1022
52,1021
53,0
54,0
55,0
56,0
57,0
58,1022
59,1022
60,1022
61,1022
62,1022
63,0
64,0
65,0
66,0
67,0
68,1022
69,1022
70,1022
71,1022
72,1022
73,0
74,0
75,0
76,0
77,0
78,1022
79,1022
80,1022
81,1022
82,1022
83,0
84,0
85,0
86,0
87,0
88,1022
89,1022
90,1022
91,1022
92,1021
93,0
94,0
95,0
96,0
97,1022
98,1021
99,1021
100,1022
101,1022
102,0
103,0
104,0
105,0
106,0
107,1022
108,1022
109,1022
110,1022
111,1021
112,0
113,0
114,0
115,0
116,0
117,1022
118,1022
119,1022
120,1022
121,1021
122,0
123,0
124,0
125,0
126,0
127,1022
128,1022
129,1022
130,1022
131,1022
132,0
133,0
134,0
135,0
136,0
137,1022
138,1022
139,1022
140,1022
141,1022
142,0
143,0
144,0
145,0
146,0
147,1022
148,1022
149,1022
150,1022
151,1022
152,0
153,0
154,0
155,0
156,0
157,1022
158,1022
159,1022
160,1022
161,1022
162,0
163,0
164,0
165,0
166,0
167,1022
168,1022
169,1022
170,1023
171,1022
172,0
173,0
174,0
175,0
176,0
177,1022
178,1022
179,1022
180,1022
181,1022
182,0
183,0
184,0
185,0
186,0
187,1022
188,1022
189,1022
190,1022
191,1022
192,0
193,0
194,0
195,0
196,0
197,1022
198,1022
199,1022
200,1022
201,1022
202,0
203,0
204,0
205,0
206,0
207,1022
208,1022
209,1022
210,1022
211,1022
212,0
213,0
214,0
215,0
216,0
217,1022
218,1022
219,1022
220,1022
221,1022
222,0
223,0
224,0
225,0
226,0
227,1022
228,1022
229,1022
230,1022
231,1022
232,0
233,0
234,0
235,0
236,0
237,1022
238,1022
239,1022
240,1022
241,1021
242,0
243,0
244,0
245,0
246,0
247,1022
248,1022
249,1022
