Time,V_out
0,533
1,534
2,535
3,536
4,537
5,537
6,537
7,537
8,537
9,538
10,537
11,537
12,538
13,538
14,538
15,538
16,538
17,539
18,539
19,540
20,541
21,543
22,545
23,548
24,550
25,554
26,557
27,561
28,563
29,567
30,570
31,573
32,577
33,580
34,583
35,586
36,589
37,592
38,594
39,598
40,600
41,603
42,605
43,608
44,610
45,613
46,616
47,619
48,621
49,625
50,628
51,632
52,636
53,639
54,643
55,646
56,651
57,654
58,659
59,666
60,671
61,676
62,680
63,683
64,687
65,690
66,693
67,696
68,699
69,702
70,703
71,706
72,708
73,710
74,712
75,714
76,715
77,717
78,719
79,720
80,722
81,724
82,729
83,736
84,738
85,740
86,740
87,742
88,742
89,743
90,743
91,744
92,745
93,745
94,746
95,746
96,747
97,748
98,748
99,749
100,750
101,751
102,751
103,752
104,752
105,753
106,754
107,754
108,755
109,756
110,756
111,757
112,758
113,758
114,759
115,759
116,760
117,761
118,761
119,762
120,763
121,764
122,764
123,764
124,765
125,765
126,766
127,766
128,766
129,767
130,768
131,768
132,769
133,769
134,770
135,770
136,771
137,772
138,773
139,773
140,774
141,774
142,775
143,775
144,776
145,777
146,777
147,777
148,778
149,777
150,778
151,778
152,779
153,780
154,781
155,781
156,782
157,782
158,783
159,783
160,784
161,785
162,785
163,786
164,787
165,788
166,788
167,789
168,789
169,790
170,791
171,792
172,793
173,793
174,794
175,794
176,795
177,796
178,797
179,798
180,799
181,800
182,802
183,803
184,804
185,807
186,808
187,810
188,813
189,816
190,818
191,820
192,822
193,825
194,828
195,831
196,833
197,835
198,837
199,839
200,841
201,843
202,846
203,848
204,850
205,852
206,854
207,856
208,859
209,861
210,863
211,866
212,868
213,869
214,872
215,874
216,876
217,878
218,880
219,883
220,886
221,888
222,889
223,893
224,895
225,897
226,900
227,902
228,905
229,908
230,910
231,912
232,914
233,916
234,918
235,920
236,922
237,925
238,926
239,928
240,930
241,932
242,933
243,935
244,937
245,939
246,941
247,942
248,944
249,947
250,948
251,949
252,950
253,952
254,954
255,955
256,957
257,957
258,959
259,960
260,961
261,963
262,963
263,965
264,966
265,967
266,968
267,968
268,970
269,971
270,972
271,973
272,974
273,975
274,976
275,976
276,977
277,978
278,984
279,983
280,983
281,984
282,984
283,984
284,985
285,986
286,986
287,987
288,988
289,989
290,991
291,992
292,992
293,993
294,994
295,995
296,995
297,996
298,997
299,997
300,997
301,998
302,998
303,998
304,999
305,999
306,999
307,999
308,999
309,1000
310,1000
311,1001
312,1001
313,1001
314,1001
315,1002
316,1002
317,1002
318,1002
319,1002
320,1002
321,1003
322,1003
323,1003
324,1003
325,1004
326,1003
327,1004
328,1004
329,1004
330,1004
331,1004
332,1004
333,1005
334,1005
335,1005
336,1005
337,1005
338,1005
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
